,INTUnit1,INTUnit2,INTUnit3,INTUnit4,INTUnit5,INTUnit6,INTUnit7
10/6/1961,5.0,2.0,3.0,2.0,3.0,4.0,0.0
10/7/1961,3.0,2.0,4.0,1.0,1.0,1.0,0.0
10/8/1961,7.0,1.0,8.0,4.0,1.0,4.0,1.0
10/9/1961,5.0,2.0,9.0,2.0,1.0,2.0,3.0
10/10/1961,6.0,3.0,12.0,2.0,5.0,2.0,0.0
10/11/1961,9.0,2.0,8.0,4.0,2.0,2.0,2.0
10/12/1961,1.0,0.0,9.0,5.0,2.0,5.0,2.0
10/13/1961,4.0,1.0,1.0,0.0,1.0,1.0,1.0
10/14/1961,4.0,0.0,4.0,2.0,1.0,1.0,1.0
10/15/1961,3.0,1.0,4.0,2.0,0.0,1.0,0.0
10/16/1961,4.0,4.0,10.0,3.0,1.0,6.0,3.0
10/17/1961,3.0,2.0,10.0,7.0,2.0,2.0,0.0
10/18/1961,3.0,2.0,6.0,8.0,1.0,3.0,0.0
10/19/1961,5.0,0.0,8.0,5.0,3.0,5.0,1.0
10/20/1961,7.0,1.0,3.0,0.0,1.0,2.0,2.0
10/21/1961,3.0,1.0,2.0,4.0,1.0,2.0,1.0
10/22/1961,0.0,2.0,9.0,8.0,0.0,6.0,2.0
10/23/1961,5.0,0.0,7.0,3.0,2.0,3.0,2.0
10/24/1961,7.0,3.0,9.0,7.0,2.0,7.0,1.0
10/25/1961,6.0,1.0,9.0,3.0,2.0,4.0,3.0
10/26/1961,6.0,2.0,8.0,5.0,3.0,3.0,3.0
10/27/1961,3.0,2.0,4.0,1.0,2.0,1.0,0.0
10/28/1961,5.0,0.0,2.0,0.0,1.0,1.0,1.0
10/29/1961,3.0,2.0,10.0,9.0,4.0,3.0,1.0
10/30/1961,5.0,0.0,6.0,5.0,3.0,3.0,2.0
10/31/1961,2.0,3.0,9.0,7.0,4.0,4.0,2.0
11/1/1961,6.0,2.0,5.0,4.0,4.0,5.0,0.0
11/2/1961,4.0,0.0,9.0,6.0,2.0,5.0,1.0
11/3/1961,5.0,3.0,3.0,1.0,1.0,3.0,1.0
11/4/1961,5.0,0.0,3.0,1.0,2.0,2.0,1.0
11/5/1961,7.0,2.0,10.0,9.0,5.0,5.0,1.0
11/6/1961,3.0,1.0,6.0,4.0,6.0,3.0,1.0
11/7/1961,6.0,1.0,9.0,7.0,7.0,5.0,2.0
11/8/1961,4.0,1.0,7.0,5.0,5.0,2.0,0.0
11/9/1961,8.0,6.0,10.0,3.0,3.0,4.0,0.0
11/10/1961,4.0,0.0,1.0,2.0,0.0,1.0,2.0
11/11/1961,3.0,1.0,6.0,1.0,1.0,0.0,0.0
11/12/1961,2.0,3.0,7.0,4.0,4.0,0.0,3.0
11/13/1961,3.0,4.0,7.0,9.0,4.0,2.0,0.0
11/14/1961,6.0,3.0,5.0,6.0,4.0,2.0,0.0
11/15/1961,3.0,2.0,3.0,6.0,4.0,1.0,0.0
11/16/1961,4.0,2.0,9.0,7.0,3.0,2.0,2.0
11/17/1961,1.0,1.0,3.0,1.0,3.0,0.0,2.0
11/18/1961,5.0,0.0,0.0,3.0,1.0,0.0,1.0
11/19/1961,4.0,2.0,9.0,7.0,5.0,6.0,1.0
11/20/1961,4.0,5.0,6.0,5.0,4.0,3.0,0.0
11/21/1961,3.0,4.0,6.0,10.0,5.0,3.0,2.0
11/22/1961,3.0,1.0,4.0,8.0,4.0,1.0,2.0
11/23/1961,4.0,0.0,8.0,6.0,4.0,4.0,2.0
11/24/1961,4.0,2.0,2.0,2.0,1.0,3.0,1.0
11/25/1961,4.0,1.0,3.0,1.0,1.0,2.0,1.0
11/26/1961,2.0,3.0,8.0,7.0,2.0,1.0,3.0
11/27/1961,4.0,3.0,7.0,6.0,1.0,3.0,3.0
11/28/1961,5.0,1.0,10.0,8.0,4.0,5.0,0.0
11/29/1961,5.0,3.0,9.0,10.0,2.0,3.0,1.0
11/30/1961,4.0,3.0,11.0,6.0,4.0,1.0,1.0
12/1/1961,5.0,0.0,1.0,1.0,0.0,2.0,1.0
12/2/1961,1.0,0.0,3.0,1.0,0.0,0.0,1.0
12/3/1961,2.0,2.0,8.0,7.0,4.0,5.0,2.0
12/4/1961,5.0,0.0,6.0,7.0,3.0,1.0,2.0
12/5/1961,2.0,0.0,6.0,10.0,4.0,2.0,2.0
12/6/1961,3.0,0.0,6.0,5.0,4.0,3.0,2.0
12/7/1961,4.0,0.0,8.0,7.0,2.0,4.0,1.0
12/8/1961,6.0,1.0,3.0,4.0,1.0,1.0,3.0
12/9/1961,6.0,0.0,3.0,0.0,0.0,1.0,2.0
12/10/1961,5.0,0.0,8.0,8.0,2.0,3.0,2.0
12/11/1961,2.0,0.0,7.0,7.0,4.0,5.0,0.0
12/12/1961,6.0,2.0,7.0,7.0,3.0,4.0,0.0
12/13/1961,2.0,2.0,6.0,6.0,1.0,5.0,1.0
12/14/1961,4.0,2.0,6.0,5.0,2.0,1.0,1.0
12/15/1961,2.0,0.0,2.0,2.0,0.0,3.0,3.0
12/16/1961,3.0,1.0,3.0,3.0,1.0,1.0,2.0
12/17/1961,5.0,2.0,8.0,7.0,2.0,4.0,2.0
12/18/1961,1.0,3.0,7.0,8.0,1.0,1.0,1.0
12/19/1961,4.0,2.0,5.0,7.0,2.0,4.0,2.0
12/20/1961,3.0,1.0,6.0,8.0,1.0,2.0,0.0
12/21/1961,6.0,2.0,7.0,4.0,5.0,3.0,0.0
12/22/1961,2.0,0.0,1.0,5.0,2.0,0.0,2.0
12/23/1961,4.0,0.0,2.0,0.0,1.0,0.0,1.0
12/24/1961,4.0,0.0,8.0,8.0,3.0,4.0,1.0
12/25/1961,3.0,2.0,6.0,7.0,4.0,1.0,1.0
12/26/1961,1.0,1.0,10.0,5.0,1.0,7.0,0.0
12/27/1961,3.0,0.0,7.0,7.0,6.0,4.0,0.0
12/28/1961,1.0,0.0,7.0,9.0,2.0,3.0,2.0
12/29/1961,6.0,3.0,3.0,2.0,0.0,1.0,1.0
12/30/1961,1.0,0.0,2.0,0.0,3.0,1.0,3.0
12/31/1961,1.0,6.0,8.0,9.0,3.0,0.0,0.0
1/1/1962,5.0,1.0,7.0,7.0,3.0,2.0,1.0
