,dateonunit_date,UnitName,Susceptible,SusceptibleX,Colonized,Infected,SusceptibleX,admission,discharge,transfer_in,transfer_out
234,4/2/1962,INTUnit4,5,11,1,0,11,5,5,1,0
235,4/3/1962,INTUnit4,9,8,1,0,8,6,4,0,1
236,4/4/1962,INTUnit4,9,9,1,0,9,5,6,3,0
237,4/5/1962,INTUnit4,10,8,2,1,8,8,5,0,8
238,4/6/1962,INTUnit4,7,6,2,1,6,0,4,0,0
239,4/7/1962,INTUnit4,4,6,2,0,6,0,2,9,0
240,4/8/1962,INTUnit4,8,9,2,0,9,9,2,0,4
241,4/9/1962,INTUnit4,10,11,1,0,11,5,5,7,0
242,4/10/1962,INTUnit4,13,14,2,0,14,11,8,0,6
243,4/11/1962,INTUnit4,11,14,1,0,14,5,9,1,0
244,4/12/1962,INTUnit4,9,14,0,0,14,6,4,0,5
245,4/13/1962,INTUnit4,7,13,0,0,13,1,7,0,0
246,4/14/1962,INTUnit4,4,10,0,0,10,1,1,5,0
247,4/15/1962,INTUnit4,8,11,0,0,11,6,2,2,0
248,4/16/1962,INTUnit4,10,13,2,0,13,8,5,0,3
249,4/17/1962,INTUnit4,8,15,2,0,15,5,11,1,0
250,4/18/1962,INTUnit4,5,15,0,0,15,6,4,0,4
251,4/19/1962,INTUnit4,2,16,0,0,16,2,4,1,0
252,4/20/1962,INTUnit4,2,14,1,0,14,3,4,0,3
253,4/21/1962,INTUnit4,0,12,1,0,12,0,4,9,0
254,4/22/1962,INTUnit4,4,13,1,0,13,9,1,0,5
255,4/23/1962,INTUnit4,6,14,1,0,14,4,7,7,0
256,4/24/1962,INTUnit4,12,13,0,0,13,11,6,0,6
257,4/25/1962,INTUnit4,11,13,0,0,13,5,10,3,0
258,4/26/1962,INTUnit4,9,13,0,0,13,8,4,0,8
259,4/27/1962,INTUnit4,6,12,0,0,12,0,6,1,0
260,4/28/1962,INTUnit4,4,9,0,0,9,1,3,7,0
261,4/29/1962,INTUnit4,7,11,0,0,11,8,2,0,2
262,4/30/1962,INTUnit4,8,13,1,0,13,6,4,2,0
263,5/1/1962,INTUnit4,10,14,2,0,14,8,5,0,4
264,5/2/1962,INTUnit4,8,15,2,0,15,4,6,0,1
265,5/3/1962,INTUnit4,5,15,2,0,15,3,8,0,2
266,5/4/1962,INTUnit4,3,11,1,0,11,1,5,0,1
267,5/5/1962,INTUnit4,2,8,0,0,8,0,2,11,0
268,5/6/1962,INTUnit4,8,11,0,0,11,10,2,0,2
269,5/7/1962,INTUnit4,12,12,1,0,12,9,7,0,0
270,5/8/1962,INTUnit4,10,16,1,0,16,8,10,0,3
271,5/9/1962,INTUnit4,8,14,0,0,14,5,6,0,0
272,5/10/1962,INTUnit4,7,14,0,0,14,5,4,0,4
273,5/11/1962,INTUnit4,5,13,0,0,13,1,7,0,0
